CASEID,weight,wdtotal,wdprmor,fmsz27,nbear27,dvfcrn, atinc27 ,wdstcred,wdsloan,wnetwpg,dvphlv2g,hcsex_r,wdstomor,wdstloc,ecpage,ecfexchr,watotpt
121,1406.9801,85100,70000,2,0,3,34475,7250,0,746750,1,1,0,3100,66,0,831850
122,5386.6988,153900,150000,2,2,1,66650,0,3900,86350,3,1,0,0,26,0,240250
123,3971.2889,41950,38000,4,3,1,69150,750,1450,275900,3,1,0,500,59,0,322850
124,5109.4666,140000,140000,2,2,1,60350,0,0,104050,4,1,0,0,35,0,239300
125,8168.7436,143800,130000,4,2,1,64775,800,0,175325,3,1,0,0,46,0,319125
126,46.4108,145000,145000,4,2,1,77950,0,0,677250,4,1,0,0,41,0,772250
127,4109.6366,137250,125000,4,2,2,73725,1750,0,125500,1,1,0,10500,29,0,262750
128,5824.7939,145000,145000,4,0,2,6000,0,0,380500,2,2,0,0,34,0,525500
129,4596.3886,181750,95000,4,2,3,110275,20000,0,442750,4,1,0,60000,44,0,539500
130,5293.7909,652100,575000,4,2,2,47600,4600,0,290751,3,1,0,72500,44,0,942951
131,1705.2542,108750,100000,2,2,2,68975,0,0,325500,2,1,0,0,40,7000,379250
132,5699.541,41000,41000,2,2,1,80400,0,0,394000,2,1,0,0,34,0,435000
133,2892.4035,170000,170000,4,2,1,62825,0,0,188800,4,1,0,0,43,0,358800
134,5318.5427,191000,145000,4,3,2,61375,0,0,517501,4,1,0,46000,46,0,708501
135,1463.6387,105000,105000,1,1,1,45125,0,0,94950,2,2,0,0,34,0,198600
136,4701.6149,168500,125000,3,3,3,51800,8000,8000,66500,4,2,0,10000,47,0,235000
137,4160.5478,288250,220000,4,3,2,47650,18000,0,272751,4,2,0,45000,48,0,558001
138,5479.1276,184000,125000,4,2,1,82225,19000,0,474001,3,1,0,40000,48,0,659001
139,4646.5997,87500,87500,4,2,1,69175,0,0,154050,4,1,0,0,42,10000,238300
140,4626.2393,67500,67500,5,2,9,70700,0,0,31811,2,1,0,0,28,1200,99311
141,4576.0198,77500,77500,4,0,1,31750,0,0,297900,4,1,0,0,42,0,375400
142,3396.123,57500,57500,4,1,1,62500,0,0,361200,3,1,0,0,43,0,417700
143,120.5313,307250,300000,4,1,1,117775,0,0,863250,4,1,0,0,46,0,1105500
144,3453.4468,147075,120000,3,2,2,59225,2800,0,61526,3,1,0,275,21,0,206801
145,2878.1702,46000,46000,4,2,1,86275,0,0,192750,3,1,0,0,41,0,238750
146,3131.0671,35900,9000,3,2,3,87775,0,0,435100,2,1,0,3900,47,0,446000
147,232.9687,104550,100000,3,2,1,85600,1050,0,290700,4,1,0,0,36,0,382750
148,5088.6767,61500,46000,3,2,2,97450,4000,0,745800,3,1,0,11500,39,10500,759800
149,51.1573,625000,500000,4,3,3,194775,0,0,1498000,4,1,0,125000,60,0,2123000
150,6187.7454,323000,310000,5,2,1,159125,5000,0,682002,4,1,0,8000,42,11500,935002
151,3118.4508,60000,60000,5,3,2,47675,0,0,212251,2,1,0,0,45,0,272251
152,5161.5619,120000,120000,4,3,2,37125,0,0,124750,4,2,0,0,40,0,244750
153,6935.4797,60900,30000,4,2,1,50550,3900,0,72125,3,1,0,17000,31,3600,120525
154,3854.2535,205750,175000,4,1,1,36675,6750,0,54650,2,1,0,24000,52,0,260400
155,4179.9243,99500,87500,4,2,9,71400,0,0,123500,2,1,0,0,38,825,223000
156,6297.2539,145000,145000,3,1,1,83100,0,0,373500,4,1,0,0,40,5000,484500
157,6389.5899,95500,75000,1,1,1,47000,11500,0,169800,1,2,0,0,38,0,232800
158,3510.0976,189750,145000,4,1,1,69550,16000,4750,493225,4,2,0,9500,48,0,632975
159,5474.2407,44000,39000,5,3,3,75750,5000,0,655500,2,1,0,0,44,0,594500
160,3824.6572,247750,150000,4,3,2,92950,8250,0,247100,3,1,0,47500,45,0,494850
161,4328.8292,80500,50000,4,2,3,70250,15500,0,149350,2,1,0,0,38,1500,229850
162,6506.3129,148900,145000,1,1,1,26875,3900,0,43651,3,2,0,0,57,0,192551
